timestamp,compressor_frequency_hz,data_quality_flag
2024-11-01 00:00:00,67.41665188485851,OK
2024-11-01 00:05:00,67.29023903802724,OK
2024-11-01 00:10:00,67.48216091644933,OK
2024-11-01 00:15:00,67.35667204936067,OK
2024-11-01 00:20:00,68.3888275483881,OK
2024-11-01 00:25:00,68.4727286225654,OK
2024-11-01 00:30:00,68.4839496514,OK
2024-11-01 00:35:00,68.887981590857,OK
2024-11-01 00:40:00,69.36765190552809,OK
2024-11-01 00:45:00,69.56309695863268,OK
2024-11-01 00:50:00,69.9265692817878,OK
2024-11-01 00:55:00,69.27302700026041,OK
2024-11-01 01:00:00,69.7434909020474,OK
2024-11-01 01:05:00,70.1472127275608,OK
2024-11-01 01:10:00,70.27599035628751,OK
2024-11-01 01:15:00,70.85924837935767,OK
2024-11-01 01:20:00,69.67790889890253,OK
2024-11-01 01:25:00,70.47588892072169,OK
2024-11-01 01:30:00,71.11824133112403,OK
2024-11-01 01:35:00,70.28372699808875,OK
2024-11-01 01:40:00,71.28423287059707,OK
2024-11-01 01:45:00,72.01572441386571,OK
2024-11-01 01:50:00,70.59637415864694,OK
2024-11-01 01:55:00,71.70363277066208,OK
2024-11-01 02:00:00,71.82258477359755,OK
2024-11-01 02:05:00,71.73745754780649,OK
2024-11-01 02:10:00,71.173119739789,OK
2024-11-01 02:15:00,71.95899534702295,OK
2024-11-01 02:20:00,72.79722358354161,OK
2024-11-01 02:25:00,71.85534204396183,OK
2024-11-01 02:30:00,72.40982039511076,OK
2024-11-01 02:35:00,71.17371700498589,OK
2024-11-01 02:40:00,72.50084702180693,OK
2024-11-01 02:45:00,74.0597672980704,OK
2024-11-01 02:50:00,72.57890188429718,OK
2024-11-01 02:55:00,71.65005602670097,OK
2024-11-01 03:00:00,72.01562045626568,OK
2024-11-01 03:05:00,72.0742433079894,OK
2024-11-01 03:10:00,73.98959756572802,OK
2024-11-01 03:15:00,72.88652891645054,OK
2024-11-01 03:20:00,73.91255370985185,OK
2024-11-01 03:25:00,73.40841000088639,OK
2024-11-01 03:30:00,74.48639509478161,OK
2024-11-01 03:35:00,74.19643423999568,OK
2024-11-01 03:40:00,74.31113228616417,OK
2024-11-01 03:45:00,73.44878584814462,OK
2024-11-01 03:50:00,73.52318700926067,OK
2024-11-01 03:55:00,73.91495283531529,OK
2024-11-01 04:00:00,74.92101120067414,OK
2024-11-01 04:05:00,74.38507897439408,OK
2024-11-01 04:10:00,74.70784413214747,OK
2024-11-01 04:15:00,73.76373217964831,OK
2024-11-01 04:20:00,73.80630811547519,OK
2024-11-01 04:25:00,73.98903759583567,OK
2024-11-01 04:30:00,75.19617475748791,OK
2024-11-01 04:35:00,76.51896505409044,OK
2024-11-01 04:40:00,76.0271040926796,OK
2024-11-01 04:45:00,74.02753098384046,OK
2024-11-01 04:50:00,75.26566918458278,OK
2024-11-01 04:55:00,75.43421383926665,OK
2024-11-01 05:00:00,74.21558146085579,OK
2024-11-01 05:05:00,74.52039593485532,OK
2024-11-01 05:10:00,75.28988552701658,OK
2024-11-01 05:15:00,75.4604578730924,OK
2024-11-01 05:20:00,75.32831831338444,OK
2024-11-01 05:25:00,75.06653310887823,OK
2024-11-01 05:30:00,74.30635947670572,OK
2024-11-01 05:35:00,75.08325403010124,OK
