timestamp,top_of_outdoor_unit_temp_c,data_quality_flag
2024-11-01 00:00:00,17.172590219969553,OK
2024-11-01 00:05:00,17.224269399755116,OK
2024-11-01 00:10:00,19.76423150545375,OK
2024-11-01 00:15:00,-1.0159294951284636,OK
2024-11-01 00:20:00,2.2958132178676127,OK
2024-11-01 00:25:00,3.075292875253253,OK
2024-11-01 00:30:00,1.9286392600884295,OK
2024-11-01 00:35:00,-2.1178068667098366,OK
2024-11-01 00:40:00,-0.4683135387509929,OK
2024-11-01 00:45:00,1.4638718033978666,OK
2024-11-01 00:50:00,-0.31825941723745377,OK
2024-11-01 00:55:00,1.4094495953989101,OK
2024-11-01 01:00:00,1.861702702912454,OK
2024-11-01 01:05:00,18.518340683957685,OK
2024-11-01 01:10:00,16.699379106246866,OK
2024-11-01 01:15:00,14.469742944527246,OK
2024-11-01 01:20:00,0.7121063160531955,OK
2024-11-01 01:25:00,1.6322707331603081,OK
2024-11-01 01:30:00,-2.807900456510024,OK
2024-11-01 01:35:00,1.8638420957685797,OK
2024-11-01 01:40:00,-0.2090533332869273,OK
2024-11-01 01:45:00,-0.1735147859860256,OK
2024-11-01 01:50:00,-0.1489281196673179,OK
2024-11-01 01:55:00,-0.19228004500996682,OK
2024-11-01 02:00:00,-0.1988449590292367,OK
2024-11-01 02:05:00,13.522729299680034,OK
2024-11-01 02:10:00,14.971846837524426,OK
2024-11-01 02:15:00,13.787294239635083,OK
2024-11-01 02:20:00,-1.3057203991591662,OK
2024-11-01 02:25:00,-3.722834791646113,OK
2024-11-01 02:30:00,-2.193089021319806,OK
2024-11-01 02:35:00,0.9365414345925652,OK
2024-11-01 02:40:00,-0.19012935656998808,OK
2024-11-01 02:45:00,-5.297532880250035,OK
2024-11-01 02:50:00,-0.8875857193621297,OK
2024-11-01 02:55:00,-1.6722203251306098,OK
2024-11-01 03:00:00,14.844896385916062,OK
2024-11-01 03:05:00,15.61029951323457,OK
2024-11-01 03:10:00,14.997305540051094,OK
2024-11-01 03:15:00,-0.4704196783662268,OK
2024-11-01 03:20:00,-0.1978052909118817,OK
