timestamp,high_side_pressure_psig,data_quality_flag
2024-11-01 00:00:00,131.03840976941595,OK
2024-11-01 00:05:00,130.64370569199266,OK
2024-11-01 00:10:00,131.11755280689445,OK
2024-11-01 00:15:00,446.8339651221223,OK
2024-11-01 00:20:00,449.46918773833227,OK
2024-11-01 00:25:00,450.12658425744013,OK
2024-11-01 00:30:00,450.8861399296562,OK
2024-11-01 00:35:00,452.270258919545,OK
2024-11-01 00:40:00,454.3324395538331,OK
2024-11-01 00:45:00,454.69531402638285,OK
2024-11-01 00:50:00,457.01666632737215,OK
2024-11-01 00:55:00,454.3519806551552,OK
2024-11-01 01:00:00,455.8766041722894,OK
2024-11-01 01:05:00,125.54891727839004,OK
2024-11-01 01:10:00,124.94528362574994,OK
2024-11-01 01:15:00,123.046993054414,OK
2024-11-01 01:20:00,455.7654717080289,OK
2024-11-01 01:25:00,458.30336219126804,OK
2024-11-01 01:30:00,461.81167509083957,OK
2024-11-01 01:35:00,457.98528354467453,OK
2024-11-01 01:40:00,461.9510123431287,OK
2024-11-01 01:45:00,464.66873742870257,OK
2024-11-01 01:50:00,459.8789694928343,OK
2024-11-01 01:55:00,463.66483201824866,OK
2024-11-01 02:00:00,464.01057358776376,OK
2024-11-01 02:05:00,121.45676644046108,OK
2024-11-01 02:10:00,123.08167598271349,OK
2024-11-01 02:15:00,121.3533767518972,OK
2024-11-01 02:20:00,468.40002389735224,OK
2024-11-01 02:25:00,464.57312561784534,OK
2024-11-01 02:30:00,467.6838260232511,OK
2024-11-01 02:35:00,461.39341148017184,OK
2024-11-01 02:40:00,466.7279163312989,OK
2024-11-01 02:45:00,472.9663852851601,OK
2024-11-01 02:50:00,467.61036688726495,OK
2024-11-01 02:55:00,464.0893228548308,OK
2024-11-01 03:00:00,120.99573768887593,OK
2024-11-01 03:05:00,120.51061008576285,OK
2024-11-01 03:10:00,116.57689554652805,OK
2024-11-01 03:15:00,468.883907776711,OK
2024-11-01 03:20:00,473.1387165812563,OK
2024-11-01 03:25:00,470.96722706093493,OK
2024-11-01 03:30:00,474.8005882427595,OK
2024-11-01 03:35:00,474.05263610536844,OK
2024-11-01 03:40:00,474.4680294630073,OK
2024-11-01 03:45:00,470.9706367223439,OK
2024-11-01 03:50:00,471.60235480699487,OK
2024-11-01 03:55:00,472.88876142130584,OK
2024-11-01 04:00:00,477.27095059551664,OK
2024-11-01 04:05:00,474.7486979673397,OK
2024-11-01 04:10:00,115.67811969894093,OK
2024-11-01 04:15:00,117.76503571028654,OK
2024-11-01 04:20:00,116.63396233659745,OK
2024-11-01 04:25:00,472.9221181634275,OK
2024-11-01 04:30:00,477.83742950716515,OK
2024-11-01 04:35:00,483.2679960348931,OK
2024-11-01 04:40:00,481.3936132403297,OK
2024-11-01 04:45:00,473.9879520874555,OK
2024-11-01 04:50:00,477.92822750262303,OK
2024-11-01 04:55:00,479.5455984078405,OK
2024-11-01 05:00:00,473.1740781205509,OK
2024-11-01 05:05:00,475.10638670671375,OK
2024-11-01 05:10:00,478.543092299789,OK
2024-11-01 05:15:00,479.46368675254405,OK
2024-11-01 05:20:00,478.9769770855699,OK
