timestamp,airflow_cfm,data_quality_flag
2024-11-01 00:00:00,0.0,OK
2024-11-01 00:05:00,0.0,OK
2024-11-01 00:10:00,0.0,OK
2024-11-01 00:15:00,928.280064592328,OK
2024-11-01 00:20:00,940.665930580657,OK
2024-11-01 00:25:00,941.6727434707848,OK
2024-11-01 00:30:00,941.8073958168,OK
2024-11-01 00:35:00,946.6557790902839,OK
2024-11-01 00:40:00,952.4118228663373,OK
2024-11-01 00:45:00,954.7571635035922,OK
2024-11-01 00:50:00,959.1188313814537,OK
2024-11-01 00:55:00,951.2763240031251,OK
2024-11-01 01:00:00,956.9218908245688,OK
2024-11-01 01:05:00,0.0,OK
2024-11-01 01:10:00,0.0,OK
2024-11-01 01:15:00,0.0,OK
2024-11-01 01:20:00,956.1349067868302,OK
2024-11-01 01:25:00,965.7106670486602,OK
2024-11-01 01:30:00,973.4188959734882,OK
2024-11-01 01:35:00,963.4047239770653,OK
2024-11-01 01:40:00,975.4107944471649,OK
2024-11-01 01:45:00,984.1886929663885,OK
2024-11-01 01:50:00,967.1564899037631,OK
2024-11-01 01:55:00,980.443593247945,OK
2024-11-01 02:00:00,981.8710172831708,OK
2024-11-01 02:05:00,0.0,OK
2024-11-01 02:10:00,0.0,OK
2024-11-01 02:15:00,0.0,OK
2024-11-01 02:20:00,993.5666830024995,OK
2024-11-01 02:25:00,982.264104527542,OK
2024-11-01 02:30:00,988.9178447413292,OK
2024-11-01 02:35:00,974.0846040598306,OK
2024-11-01 02:40:00,990.0101642616833,OK
2024-11-01 02:45:00,1008.7172075768448,OK
2024-11-01 02:50:00,990.9468226115661,OK
2024-11-01 02:55:00,979.8006723204116,OK
2024-11-01 03:00:00,0.0,OK
2024-11-01 03:05:00,0.0,OK
2024-11-01 03:10:00,0.0,OK
2024-11-01 03:15:00,994.6383469974065,OK
2024-11-01 03:20:00,1006.9506445182221,OK
2024-11-01 03:25:00,1000.9009200106367,OK
2024-11-01 03:30:00,1013.8367411373792,OK
2024-11-01 03:35:00,1010.3572108799481,OK
2024-11-01 03:40:00,1011.7335874339699,OK
2024-11-01 03:45:00,1001.3854301777355,OK
2024-11-01 03:50:00,1002.2782441111281,OK
2024-11-01 03:55:00,1006.9794340237834,OK
2024-11-01 04:00:00,1019.0521344080897,OK
2024-11-01 04:05:00,1012.6209476927289,OK
2024-11-01 04:10:00,0.0,OK
2024-11-01 04:15:00,0.0,OK
2024-11-01 04:20:00,0.0,OK
2024-11-01 04:25:00,1007.868451150028,OK
2024-11-01 04:30:00,1022.3540970898549,OK
2024-11-01 04:35:00,1038.2275806490854,OK
2024-11-01 04:40:00,1032.3252491121552,OK
2024-11-01 04:45:00,1008.3303718060855,OK
